experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,arch_family,block_type_primary,backbone,stack_pattern,wavelet_family,basis_dim_label,latent_dim_cfg,trend_thetas_dim_cfg,skip_distance_cfg,active_g_cfg,kl_weight_cfg,share_weights_cfg
comprehensive_m4_paper_sample_plateau,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Monthly,12,18,90,10,1,True,0,1060130360,13.640807,0.984226,576.210693,1839608.250000,0.935700,0.513686,1.053430,8898560,256,58.38,4,False,False,ReLU,EARLY_STOPPED,12.15788651,12.35892200,6.63180733,23,1.016535,False,"[""27.10975266"", ""13.05563450"", ""13.24358845"", ""12.37589359"", ""12.95301151"", ""12.52222824"", ""12.69480896"", ""12.55086708"", ""12.66875648"", ""12.70767021"", ""12.37624454"", ""12.26645279"", ""12.41949463"", ""12.75995064"", ""12.33443069"", ""12.31037521"", ""12.38815975"", ""12.45677757"", ""12.30529785"", ""12.29486942"", ""12.25788116"", ""12.65455437"", ""12.41212368"", ""12.15788651"", ""12.26820469"", ""12.43820858"", ""12.59010029"", ""12.47473526"", ""12.33046532"", ""12.72362900"", ""12.35743999"", ""12.75825787"", ""12.46200085"", ""12.33322525"", ""12.51850510"", ""12.60426331"", ""12.32507324"", ""12.16668987"", ""12.35892200""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample_plateau,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Monthly,12,18,90,10,1,True,1,863980865,13.212403,0.965611,562.706055,1822722.125000,0.912097,0.500059,1.031020,8898560,256,81.04,6,False,False,ReLU,EARLY_STOPPED,12.03082180,12.63231277,7.02817202,38,1.049996,False,"[""13.36144829"", ""13.83608341"", ""13.03768349"", ""12.63372040"", ""12.80602455"", ""12.88490582"", ""12.38411999"", ""12.51323986"", ""12.89167690"", ""12.68376160"", ""12.51709366"", ""12.98520184"", ""12.47775650"", ""12.44728947"", ""12.37916660"", ""12.25820351"", ""12.42754555"", ""12.35545731"", ""13.11452579"", ""12.41891289"", ""12.32018661"", ""12.33261204"", ""12.17324257"", ""12.10501862"", ""12.42531776"", ""12.25941181"", ""12.40200901"", ""12.09377384"", ""12.54521751"", ""12.07422638"", ""12.15464497"", ""12.38450813"", ""12.26327229"", ""13.27362728"", ""12.59651661"", ""12.20536613"", ""12.25346470"", ""12.34223652"", ""12.03082180"", ""12.12796307"", ""12.61973000"", ""12.24263573"", ""12.13274479"", ""12.30086613"", ""12.16851997"", ""12.25223923"", ""12.21462631"", ""12.11485577"", ""12.30816936"", ""12.38008213"", ""12.21611595"", ""12.28355885"", ""12.29222107"", ""12.63231277""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample_plateau,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Monthly,12,18,90,10,1,True,2,893092053,13.105102,0.936584,556.286987,1812741.500000,0.894725,0.488822,1.006878,8898560,256,91.06,6,False,False,ReLU,EARLY_STOPPED,11.99807549,12.19437122,7.14520597,43,1.016361,False,"[""24.05069542"", ""13.13259983"", ""12.82877827"", ""13.69634342"", ""12.89841557"", ""12.66992664"", ""12.41686821"", ""12.39033604"", ""13.02427197"", ""12.71232510"", ""13.20336151"", ""12.36361217"", ""12.87773991"", ""12.37131119"", ""12.57665730"", ""12.38120270"", ""12.89266014"", ""12.86506748"", ""12.36730957"", ""14.12668228"", ""12.91543007"", ""12.34985542"", ""12.64695835"", ""12.14340496"", ""12.71585941"", ""12.64045429"", ""12.17879581"", ""12.23913288"", ""12.42477989"", ""12.02493763"", ""12.41497517"", ""12.22410011"", ""12.20092583"", ""12.09207916"", ""12.38212872"", ""12.25894260"", ""12.27314472"", ""12.30038643"", ""12.23684597"", ""12.05972099"", ""12.23822784"", ""12.22893620"", ""12.18138695"", ""11.99807549"", ""12.02963924"", ""12.13568783"", ""12.34235668"", ""12.12236881"", ""12.28124905"", ""12.25992870"", ""12.28966236"", ""12.20931911"", ""12.22212791"", ""12.15758896"", ""12.20530510"", ""12.23669243"", ""12.19359875"", ""12.16101646"", ""12.19437122""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample_plateau,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Monthly,12,18,90,10,1,True,3,1386309014,13.027612,0.952449,557.956726,1811535.625000,0.899501,0.496219,1.033509,8898560,256,84.70,6,False,False,ReLU,EARLY_STOPPED,12.01108837,12.25313950,7.87038040,39,1.020152,False,"[""25.98874283"", ""13.63180351"", ""13.87707329"", ""12.84342670"", ""12.64374065"", ""13.46096992"", ""12.64958286"", ""12.68414593"", ""12.60992718"", ""12.53190613"", ""12.34455204"", ""12.92843246"", ""12.61034489"", ""12.97974586"", ""12.73053551"", ""12.59047508"", ""12.28359604"", ""12.31059647"", ""12.27076340"", ""12.43479538"", ""12.30708599"", ""12.13734245"", ""12.58129787"", ""12.18169117"", ""12.41678429"", ""12.47095871"", ""12.23021126"", ""12.18860245"", ""12.09986496"", ""12.26699734"", ""12.56897640"", ""12.27809525"", ""12.26096439"", ""12.22804070"", ""12.11980057"", ""12.20182896"", ""12.13532925"", ""12.41440392"", ""12.30251026"", ""12.01108837"", ""12.43965244"", ""12.14126015"", ""12.32397652"", ""12.25784397"", ""12.29919243"", ""12.20402431"", ""12.21818352"", ""12.52446365"", ""12.52740192"", ""12.33230972"", ""12.18890095"", ""12.22097111"", ""12.12814713"", ""12.19314861"", ""12.25313950""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample_plateau,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Monthly,12,18,90,10,1,True,4,1186940189,13.583465,0.966632,573.799377,1858810.875000,0.925437,0.503356,1.022503,8898560,256,109.59,8,False,False,ReLU,EARLY_STOPPED,12.11733246,12.30262470,7.40323591,56,1.015292,False,"[""14.29565334"", ""12.96349716"", ""12.95364952"", ""13.59517574"", ""12.60994053"", ""12.37929153"", ""12.43433952"", ""12.77068233"", ""12.42726421"", ""13.15049458"", ""12.70970154"", ""12.57454300"", ""12.59487629"", ""12.43024254"", ""12.99807167"", ""12.45265198"", ""12.54016972"", ""12.28788757"", ""12.76319408"", ""12.36866951"", ""12.80733490"", ""12.79079533"", ""12.47831154"", ""12.25890636"", ""12.29809856"", ""12.93909645"", ""12.35584927"", ""12.50287724"", ""12.47592163"", ""12.47655869"", ""12.44525528"", ""12.17178535"", ""12.43865871"", ""12.53731251"", ""12.71848392"", ""12.26954174"", ""12.76806545"", ""12.37370396"", ""12.65225697"", ""12.39432049"", ""12.24109459"", ""12.27945614"", ""12.43433094"", ""12.20405197"", ""12.13867188"", ""12.23072433"", ""12.17868233"", ""12.21748161"", ""12.23002243"", ""12.19784737"", ""12.18564987"", ""12.23707390"", ""12.32605457"", ""12.19860935"", ""12.21577072"", ""12.17432690"", ""12.11733246"", ""12.27880859"", ""12.21399498"", ""12.37961197"", ""12.28510380"", ""12.36585808"", ""12.42088127"", ""12.31628609"", ""12.38646698"", ""12.22648335"", ""12.24543762"", ""12.24910164"", ""12.51810551"", ""12.35079288"", ""12.34788895"", ""12.30262470""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample_plateau,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Monthly,12,18,90,10,1,True,5,741378674,13.381752,0.953130,567.118530,1849028.125000,0.912095,0.498586,1.016687,8898560,256,86.82,6,False,False,ReLU,EARLY_STOPPED,12.03427124,12.46603298,7.42020988,41,1.035878,False,"[""13.32855988"", ""13.11994553"", ""13.55816269"", ""12.87351704"", ""13.06061363"", ""12.93207455"", ""12.91186714"", ""12.70712471"", ""12.60016155"", ""12.76458073"", ""13.83328915"", ""12.68406773"", ""13.43979931"", ""12.62123680"", ""12.62784767"", ""12.44917011"", ""12.35985851"", ""12.21644020"", ""12.53835297"", ""12.80540085"", ""12.35277557"", ""13.41602516"", ""12.42013550"", ""12.31012154"", ""12.73555851"", ""12.19622421"", ""12.49266052"", ""12.60347176"", ""12.56765079"", ""12.63270664"", ""12.13069248"", ""12.25803661"", ""12.49706364"", ""12.26415634"", ""12.30035782"", ""12.31616688"", ""12.14607143"", ""12.43585777"", ""12.28537369"", ""12.15261745"", ""13.01968861"", ""12.03427124"", ""12.35696697"", ""12.05297565"", ""12.15592957"", ""12.21179771"", ""12.20680904"", ""12.36592197"", ""12.23601437"", ""12.13369560"", ""12.09247398"", ""12.32801914"", ""12.31000137"", ""12.14737606"", ""12.34232426"", ""12.32094765"", ""12.46603298""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample_plateau,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Monthly,12,18,90,10,1,True,6,1427816689,13.375105,0.969303,566.756653,1841527.000000,0.919472,0.502913,1.041673,8898560,256,63.03,4,False,False,ReLU,EARLY_STOPPED,12.01026726,12.15753937,7.25145912,24,1.012262,False,"[""13.97758579"", ""13.65929127"", ""13.74866581"", ""12.52354431"", ""13.05354786"", ""12.34564304"", ""13.43005085"", ""12.75082207"", ""12.93953228"", ""13.49260712"", ""12.54807854"", ""12.71951389"", ""12.39939022"", ""12.92511082"", ""12.35755444"", ""12.27912617"", ""12.49220467"", ""12.31390858"", ""12.13300800"", ""12.63266373"", ""12.29926968"", ""12.51937199"", ""12.22663784"", ""12.25159264"", ""12.01026726"", ""12.53466415"", ""12.16371918"", ""12.46112633"", ""12.21032810"", ""12.22657299"", ""12.13358593"", ""12.17033577"", ""12.06805706"", ""12.25151920"", ""12.14756680"", ""12.34026051"", ""12.09861946"", ""12.13445950"", ""12.25022888"", ""12.15753937""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample_plateau,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Monthly,12,18,90,10,1,True,7,1684072947,13.601692,0.974373,577.622620,1858326.375000,0.929710,0.510295,1.033537,8898560,256,61.04,4,False,False,ReLU,EARLY_STOPPED,12.01789474,12.41967487,7.93777466,22,1.033432,False,"[""13.22818756"", ""12.77668095"", ""13.02155304"", ""12.73188019"", ""13.14833164"", ""13.00829697"", ""12.55848694"", ""12.96782398"", ""12.80303478"", ""12.45377064"", ""12.31781006"", ""12.61553288"", ""12.65987492"", ""12.63071918"", ""12.84387589"", ""12.21220589"", ""12.15243053"", ""12.92759132"", ""12.20107079"", ""12.23064232"", ""12.35698986"", ""12.60968208"", ""12.01789474"", ""12.53921986"", ""12.27307796"", ""12.29848003"", ""12.37850475"", ""12.18861675"", ""12.24181747"", ""12.43826866"", ""12.41929436"", ""12.31175232"", ""12.14271355"", ""12.68224239"", ""12.14024448"", ""12.36292839"", ""12.28643322"", ""12.41967487""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample_plateau,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Monthly,12,18,90,10,1,True,8,1139832322,12.906693,0.934558,550.600098,1802215.250000,0.886895,0.485993,1.010447,8898560,256,85.87,6,False,False,ReLU,EARLY_STOPPED,12.00223732,12.22276211,7.81682587,41,1.018374,False,"[""34.46073151"", ""23.86002350"", ""12.77335930"", ""12.85040665"", ""12.86736679"", ""12.84418106"", ""12.47451210"", ""12.25969696"", ""12.48042297"", ""12.62276649"", ""12.56347370"", ""12.39875507"", ""12.49074841"", ""12.59964466"", ""12.60254860"", ""12.71873665"", ""12.47908974"", ""12.77641964"", ""12.54981232"", ""12.29076862"", ""12.20234680"", ""12.65484142"", ""12.88612652"", ""12.41911983"", ""12.53129292"", ""12.47069359"", ""12.89358330"", ""12.55422497"", ""12.33662605"", ""12.17262650"", ""12.33077240"", ""12.09171009"", ""12.12141800"", ""12.09683609"", ""12.12117863"", ""12.20314026"", ""12.38422680"", ""12.24768257"", ""12.13415623"", ""12.29793072"", ""12.24491787"", ""12.00223732"", ""12.10051060"", ""12.20431995"", ""12.21906281"", ""12.09988499"", ""12.20282555"", ""12.16602707"", ""12.14915371"", ""12.19437885"", ""12.18667316"", ""12.24859142"", ""12.16056728"", ""12.11207676"", ""12.23660946"", ""12.23621750"", ""12.22276211""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample_plateau,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Monthly,12,18,90,10,1,True,9,2031236560,13.288121,0.957381,565.827759,1854261.375000,0.910850,0.496566,1.017479,8898560,256,62.19,4,False,False,ReLU,EARLY_STOPPED,12.16895008,12.52593517,8.19430065,24,1.029336,False,"[""33.55375671"", ""12.80536938"", ""12.80585766"", ""13.01492596"", ""13.23214340"", ""12.46592999"", ""12.54085922"", ""12.46975517"", ""12.53722954"", ""13.85998535"", ""12.82931614"", ""12.45217991"", ""12.85335922"", ""12.24671459"", ""12.71651268"", ""12.27432060"", ""12.52765274"", ""12.43136215"", ""12.73904514"", ""12.28166962"", ""13.06836414"", ""12.43346214"", ""12.23431873"", ""12.24276066"", ""12.16895008"", ""12.56449986"", ""12.48832798"", ""12.29696083"", ""12.41669273"", ""12.61082840"", ""12.47865582"", ""12.86263180"", ""12.24787903"", ""12.45927429"", ""12.39966106"", ""12.93542099"", ""13.21574116"", ""12.62099457"", ""12.55166626"", ""12.52593517""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
