experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,basis_dim,basis_offset,search_round,arch_pattern,wavelet_family,n_stacks_requested,meta_predicted_best,meta_convergence_score
search_r1,Haar_homog_s10_d4_o0,search_round1,['HaarWaveletV3'],Yearly,1,6,30,10,1,True,0,42,90.265648,27.701137,5327.693359,77394280.000000,6.247066,6.070562,118.790482,8079360,14.17,2,False,False,ReLU,MAX_EPOCHS,90.99046326,90.99046326,82.02861786,1,1.000000,False,"[""92.54931641"", ""90.99046326""]",4,0,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d8_o0,search_round1,['HaarWaveletV3'],Yearly,1,6,30,10,1,True,0,42,60.205799,14.583925,2867.107666,21447336.000000,3.676975,3.221878,30.666431,8110080,14.35,2,False,False,ReLU,MAX_EPOCHS,61.25415039,61.25415039,61.96395111,1,1.000000,False,"[""66.07016754"", ""61.25415039""]",8,0,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d16_o0,search_round1,['HaarWaveletV3'],Yearly,1,6,30,10,1,True,0,42,31.438753,10.238963,2185.502197,12269748.000000,2.250144,2.740346,25.481213,8151040,14.71,2,False,False,ReLU,MAX_EPOCHS,34.57888412,34.57888412,34.05522537,1,1.000000,False,"[""34.91082382"", ""34.57888412""]",16,0,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s20_d4_o0,search_round1,['HaarWaveletV3'],Yearly,1,6,30,20,1,True,0,42,92.418320,28.426737,5539.312012,79714832.000000,6.404222,6.327374,119.328438,16158720,26.11,2,False,False,ReLU,MAX_EPOCHS,93.78168488,93.78168488,86.95587158,1,1.000000,False,"[""117.93322754"", ""93.78168488""]",4,0,1,homogeneous,HaarWaveletV3,20,,
search_r1,Haar_homog_s20_d8_o0,search_round1,['HaarWaveletV3'],Yearly,1,6,30,20,1,True,0,42,92.588219,20.921552,4028.710938,34911296.000000,5.465134,4.582158,56.803513,16220160,25.76,2,False,False,ReLU,MAX_EPOCHS,93.12387848,93.12387848,99.34241486,1,1.000000,False,"[""99.38279724"", ""93.12387848""]",8,0,1,homogeneous,HaarWaveletV3,20,,
search_r1,Haar_homog_s20_d16_o0,search_round1,['HaarWaveletV3'],Yearly,1,6,30,20,1,True,0,42,37.274807,11.719518,2334.063232,12800358.000000,2.614985,2.577280,19.684713,16302080,26.44,2,False,False,ReLU,MAX_EPOCHS,38.24871063,38.24871063,50.96046448,1,1.000000,False,"[""45.59139633"", ""38.24871063""]",16,0,1,homogeneous,HaarWaveletV3,20,,
search_r1,Haar_homog_s30_d4_o0,search_round1,['HaarWaveletV3'],Yearly,1,6,30,30,1,True,0,42,108.401939,30.094958,5605.392090,67921240.000000,7.103149,6.159940,102.486435,24238080,36.06,2,False,False,ReLU,MAX_EPOCHS,109.82040405,109.82040405,108.71784973,1,1.000000,False,"[""127.94950867"", ""109.82040405""]",4,0,1,homogeneous,HaarWaveletV3,30,,
search_r1,Haar_homog_s30_d8_o0,search_round1,['HaarWaveletV3'],Yearly,1,6,30,30,1,True,0,42,68.021942,20.848572,3904.052490,37106220.000000,4.704322,4.702663,73.611397,24330240,36.24,2,False,False,ReLU,MAX_EPOCHS,66.81211853,66.81211853,67.95890808,1,1.000000,False,"[""102.85941315"", ""66.81211853""]",8,0,1,homogeneous,HaarWaveletV3,30,,
search_r1,Haar_homog_s30_d16_o0,search_round1,['HaarWaveletV3'],Yearly,1,6,30,30,1,True,0,42,44.583366,18.758884,3381.765625,27844822.000000,3.724275,4.284457,69.017426,24453120,38.62,2,False,False,ReLU,MAX_EPOCHS,41.87525177,41.87525177,69.06694031,1,1.000000,False,"[""119.73370361"", ""41.87525177""]",16,0,1,homogeneous,HaarWaveletV3,30,,
search_r1,Haar_trmix_s10_d4_o0,search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,0,42,29.165194,9.120657,1835.995850,9177078.000000,2.039880,2.564023,24.811554,5072665,10.43,2,False,False,ReLU,MAX_EPOCHS,28.37535667,28.37535667,25.87612915,1,1.000000,False,"[""40.36923599"", ""28.37535667""]",4,0,1,trend_mixed,HaarWaveletV3,10,,
search_r1,Haar_trmix_s10_d8_o0,search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,0,42,24.376398,6.526080,1435.291626,5960386.000000,1.566918,1.554692,6.867465,5088025,9.06,2,False,False,ReLU,MAX_EPOCHS,25.70944214,25.70944214,20.31749344,1,1.000000,False,"[""35.45515823"", ""25.70944214""]",8,0,1,trend_mixed,HaarWaveletV3,10,,
search_r1,Haar_trmix_s10_d16_o0,search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,0,42,25.579109,6.996795,1517.698120,6518352.000000,1.662940,1.713803,8.739129,5108505,9.04,2,False,False,ReLU,MAX_EPOCHS,26.76067924,26.76067924,21.03363800,1,1.000000,False,"[""40.60529327"", ""26.76067924""]",16,0,1,trend_mixed,HaarWaveletV3,10,,
search_r1,Haar_trmix_s20_d4_o0,search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,20,1,True,0,42,24.050230,6.376021,1413.457153,5882889.500000,1.538058,1.552377,7.062541,10145330,15.55,2,False,False,ReLU,MAX_EPOCHS,25.81836319,25.81836319,17.85207748,1,1.000000,False,"[""60.40329742"", ""25.81836319""]",4,0,1,trend_mixed,HaarWaveletV3,20,,
search_r1,Haar_trmix_s20_d8_o0,search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,20,1,True,0,42,22.990475,6.228027,1356.249512,5416372.500000,1.487014,1.628223,8.335938,10176050,15.22,2,False,False,ReLU,MAX_EPOCHS,22.86995316,22.86995316,17.34355927,1,1.000000,False,"[""30.52007294"", ""22.86995316""]",8,0,1,trend_mixed,HaarWaveletV3,20,,
search_r1,Haar_trmix_s20_d16_o0,search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,20,1,True,0,42,27.630257,8.390146,1710.415771,7058235.500000,1.901006,2.117619,13.848193,10217010,15.56,2,False,False,ReLU,MAX_EPOCHS,26.25753784,26.25753784,18.83454132,1,1.000000,False,"[""31.50064087"", ""26.25753784""]",16,0,1,trend_mixed,HaarWaveletV3,20,,
search_r1,Haar_trmix_s30_d4_o0,search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,30,1,True,0,42,27.092249,8.191376,1665.985596,7419850.000000,1.859536,2.248379,18.132620,15217995,22.23,2,False,False,ReLU,MAX_EPOCHS,25.75407028,25.75407028,19.15271187,1,1.000000,False,"[""40.96631241"", ""25.75407028""]",4,0,1,trend_mixed,HaarWaveletV3,30,,
search_r1,Haar_trmix_s30_d8_o0,search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,30,1,True,0,42,23.529114,6.389937,1387.812012,5752720.500000,1.523865,1.668695,8.932633,15264075,23.36,2,False,False,ReLU,MAX_EPOCHS,24.29439354,24.29439354,21.92008400,1,1.000000,False,"[""54.25912857"", ""24.29439354""]",8,0,1,trend_mixed,HaarWaveletV3,30,,
search_r1,Haar_trmix_s30_d16_o0,search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,30,1,True,0,42,31.736092,10.306869,2050.244141,9537330.000000,2.267786,2.626717,22.155884,15325515,23.76,2,False,False,ReLU,MAX_EPOCHS,30.53807259,30.53807259,20.45531845,1,1.000000,False,"[""39.50205231"", ""30.53807259""]",16,0,1,trend_mixed,HaarWaveletV3,30,,
search_r1,Haar_tsmix_s30_d4_o0,search_round1,"['Trend', 'Seasonality', 'HaarWaveletV3']",Yearly,1,6,30,30,1,True,0,42,44.747967,18.001002,3275.989502,25435494.000000,3.633956,4.478897,66.339996,137367090,95.32,2,False,False,ReLU,MAX_EPOCHS,42.91498184,42.91498184,62.23412704,1,1.000000,False,"[""185.02870178"", ""42.91498184""]",4,0,1,trend_season_mixed,HaarWaveletV3,30,,
