experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,basis_dim,basis_offset,trend_thetas_dim_cfg,wavelet_family,bd_label,active_g_cfg,meta_predicted_best,meta_convergence_score
wavelet_search_r1_baseline,Haar_bd6_eq_fcast_ttd3,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,0,42,15.619315,3.815516,942.752197,3498927.250000,0.957949,0.878300,2.355016,5080335,9.69,7,False,False,ReLU,MAX_EPOCHS,15.44511795,15.44511795,12.04263306,6,1.000000,False,"[""40.43371201"", ""26.76664925"", ""26.54743385"", ""21.03107643"", ""19.25435638"", ""17.62744713"", ""15.44511795""]",1,6,0,3,HaarWaveletV3,eq_fcast,False,14.024303,0.346847
wavelet_search_r1_baseline,Haar_bd6_eq_fcast_ttd3,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,1,43,14.975856,3.524277,904.275269,3424420.250000,0.901618,0.822321,2.202596,5080335,9.83,7,False,False,ReLU,MAX_EPOCHS,15.40489006,15.46936035,11.49178886,5,1.004185,False,"[""39.53739166"", ""24.84914589"", ""21.29557800"", ""18.54114914"", ""15.90638447"", ""15.40489006"", ""15.46936035""]",1,6,0,3,HaarWaveletV3,eq_fcast,False,12.320293,0.311611
wavelet_search_r1_baseline,Haar_bd6_eq_fcast_ttd3,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,2,44,17.349472,4.479332,1092.610840,4066546.750000,1.094404,1.008356,2.777784,5080335,10.06,7,False,False,ReLU,MAX_EPOCHS,17.34178925,17.34178925,11.97404575,6,1.000000,False,"[""43.68864441"", ""25.95171547"", ""28.00148010"", ""23.72797585"", ""18.57862282"", ""17.75808716"", ""17.34178925""]",1,6,0,3,HaarWaveletV3,eq_fcast,False,13.701439,0.313616
wavelet_search_r1_baseline,Haar_bd6_eq_fcast_ttd5,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,0,42,14.977652,3.485990,909.300598,3457423.750000,0.896856,0.798711,2.159283,5082905,9.86,7,False,False,ReLU,MAX_EPOCHS,15.82187271,16.79094696,13.08242512,5,1.061249,False,"[""40.64699173"", ""26.54655075"", ""22.03815079"", ""19.21154022"", ""19.15513611"", ""15.82187271"", ""16.79094696""]",1,6,0,5,HaarWaveletV3,eq_fcast,False,13.226490,0.325399
wavelet_search_r1_baseline,Haar_bd6_eq_fcast_ttd5,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,1,43,20.638590,5.735275,1279.396118,4852159.500000,1.353058,1.417208,5.785454,5082905,9.32,7,False,False,ReLU,MAX_EPOCHS,20.90362740,21.16281891,14.35442734,4,1.012399,False,"[""37.02519226"", ""26.71736717"", ""24.49519920"", ""22.08683205"", ""20.90362740"", ""22.96869850"", ""21.16281891""]",1,6,0,5,HaarWaveletV3,eq_fcast,False,19.373208,0.523244
wavelet_search_r1_baseline,Haar_bd6_eq_fcast_ttd5,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,2,44,17.158009,4.355195,1049.035767,4047328.000000,1.072928,1.041849,3.280739,5082905,9.70,7,False,False,ReLU,MAX_EPOCHS,18.01192856,18.17539978,14.22261715,5,1.009076,False,"[""34.93315125"", ""25.87586403"", ""28.18939209"", ""25.23620987"", ""21.04320908"", ""18.01192856"", ""18.17539978""]",1,6,0,5,HaarWaveletV3,eq_fcast,False,13.465080,0.385453
wavelet_search_r1_baseline,Haar_bd4_lt_fcast_ttd3,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,0,42,15.464060,3.707037,931.465942,3458932.500000,0.939550,0.842113,2.246616,5070095,10.09,7,False,False,ReLU,MAX_EPOCHS,15.29913998,15.29913998,11.62658215,6,1.000000,False,"[""38.50425720"", ""26.66417694"", ""22.75303078"", ""19.14980125"", ""16.95678520"", ""15.81065464"", ""15.29913998""]",1,4,0,3,HaarWaveletV3,lt_fcast,False,12.526090,0.325317
wavelet_search_r1_baseline,Haar_bd4_lt_fcast_ttd3,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,1,43,15.443665,3.673096,933.463501,3549921.750000,0.934656,0.867712,2.413212,5070095,9.84,7,False,False,ReLU,MAX_EPOCHS,15.87888336,15.96616554,11.49906921,5,1.005497,False,"[""36.52254868"", ""26.02046013"", ""22.28333664"", ""19.16557693"", ""19.56264305"", ""15.87888336"", ""15.96616554""]",1,4,0,3,HaarWaveletV3,lt_fcast,False,13.141583,0.359821
wavelet_search_r1_baseline,Haar_bd4_lt_fcast_ttd3,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,2,44,16.975193,4.296314,1016.073059,3694500.750000,1.059926,0.992266,2.805906,5070095,9.92,7,False,False,ReLU,MAX_EPOCHS,16.70299149,16.70299149,12.48039532,6,1.000000,False,"[""38.42276382"", ""27.65957260"", ""24.82811737"", ""24.45888901"", ""19.64170837"", ""17.92545891"", ""16.70299149""]",1,4,0,3,HaarWaveletV3,lt_fcast,False,14.246804,0.370791
wavelet_search_r1_baseline,Haar_bd4_lt_fcast_ttd5,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,0,42,16.551979,4.160335,992.536804,3698329.000000,1.029869,0.969819,2.801512,5072665,9.51,7,False,False,ReLU,MAX_EPOCHS,16.83390045,17.06380463,14.21398258,5,1.013657,False,"[""36.93263626"", ""26.12658882"", ""23.56369209"", ""19.92029762"", ""20.04239655"", ""16.83390045"", ""17.06380463""]",1,4,0,5,HaarWaveletV3,lt_fcast,False,13.886020,0.375982
