experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,wavelet_type,wavelet_family,basis_dim,basis_offset,trend_dim_cfg,bd_label,latent_dim_cfg,meta_predicted_best,meta_convergence_score
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,0,42,16.134205,3.916730,995.240601,3727050.750000,0.986437,0.861535,2.211583,1485050,10.55,10,False,False,ReLU,MAX_EPOCHS,15.98467159,15.98467159,11.83234978,9,1.000000,False,"[""37.19990158"", ""37.81642914"", ""25.53972816"", ""24.62756157"", ""21.07528877"", ""19.29219055"", ""17.48785591"", ""16.77036667"", ""17.46967316"", ""15.98467159""]",1,TrendWaveletAELG,haar,haar,6,0,3,eq_fcast,8,17.74331751,0.47697216
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,1,43,15.688242,3.773813,971.822937,3685408.000000,0.954811,0.851271,2.196241,1485050,10.38,10,False,False,ReLU,MAX_EPOCHS,15.60437393,15.60437393,11.43982410,9,1.000000,False,"[""37.42728424"", ""45.07568359"", ""27.13151169"", ""25.83932877"", ""22.62771988"", ""20.48947906"", ""19.04491043"", ""17.33398247"", ""15.96855736"", ""15.60437393""]",1,TrendWaveletAELG,haar,haar,6,0,3,eq_fcast,8,18.83062514,0.50312561
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,2,44,15.644775,3.646450,933.282410,3531926.500000,0.937456,0.871602,2.471439,1485050,9.32,10,False,False,ReLU,MAX_EPOCHS,15.94692898,15.94692898,11.74140263,9,1.000000,False,"[""49.46740341"", ""60.82374573"", ""26.24270439"", ""23.55824661"", ""23.57342911"", ""19.84389687"", ""17.96771431"", ""17.01941681"", ""17.68292046"", ""15.94692898""]",1,TrendWaveletAELG,haar,haar,6,0,3,eq_fcast,8,17.38044342,0.35135144
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td5_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,0,42,14.953063,3.467867,899.582886,3396319.000000,0.893824,0.804947,2.154990,1495310,9.35,10,False,False,ReLU,MAX_EPOCHS,15.10971832,15.10971832,11.89932442,9,1.000000,False,"[""42.78132248"", ""43.50977707"", ""26.87775803"", ""26.73825455"", ""21.88236809"", ""20.10572815"", ""17.04085159"", ""17.90519524"", ""15.57417107"", ""15.10971832""]",1,TrendWaveletAELG,haar,haar,6,0,5,eq_fcast,8,18.27165560,0.42709422
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td5_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,1,43,15.370296,3.722268,939.419373,3509341.750000,0.938597,0.841207,2.216573,1495310,9.41,10,False,False,ReLU,MAX_EPOCHS,15.41617107,15.41617107,11.34653187,9,1.000000,False,"[""31.57418442"", ""36.68801880"", ""25.13552666"", ""28.59607887"", ""21.28386879"", ""19.29106522"", ""16.86265564"", ""16.07551765"", ""16.66025734"", ""15.41617107""]",1,TrendWaveletAELG,haar,haar,6,0,5,eq_fcast,8,17.89441840,0.56674206
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td5_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,2,44,15.844356,3.751514,953.350708,3533583.250000,0.956781,0.864375,2.361744,1495310,9.27,10,False,False,ReLU,MAX_EPOCHS,16.08927727,17.68081856,12.94645786,8,1.098919,False,"[""35.35491943"", ""35.84616089"", ""26.45573997"", ""25.99755478"", ""21.08113861"", ""18.62026787"", ""16.89594078"", ""16.67463303"", ""16.08927727"", ""17.68081856""]",1,TrendWaveletAELG,haar,haar,6,0,5,eq_fcast,8,17.28196997,0.48881373
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,1,43,14.599850,3.358160,871.404724,3306687.500000,0.869214,0.787659,2.120520,1474790,9.70,10,False,False,ReLU,MAX_EPOCHS,15.56757164,15.56757164,11.58045387,9,1.000000,False,"[""30.84581566"", ""53.18265915"", ""25.17589378"", ""23.93098450"", ""19.75837898"", ""17.89393044"", ""16.94929504"", ""15.93000412"", ""16.13583374"", ""15.56757164""]",1,TrendWaveletAELG,haar,haar,4,0,3,lt_fcast,8,16.29621357,0.52831197
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,0,42,15.110675,3.495674,901.776550,3415852.250000,0.902144,0.822457,2.244300,1474790,9.78,10,False,False,ReLU,MAX_EPOCHS,15.83879852,15.83879852,11.50225735,9,1.000000,False,"[""33.10262299"", ""51.48166275"", ""26.08656883"", ""24.74588394"", ""20.40192223"", ""18.35065842"", ""17.11150932"", ""16.31398392"", ""17.00472450"", ""15.83879852""]",1,TrendWaveletAELG,haar,haar,4,0,3,lt_fcast,8,16.82566492,0.50828797
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td5_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,0,42,15.824419,3.774039,958.289856,3574787.500000,0.959005,0.854154,2.240177,1485050,9.65,10,False,False,ReLU,MAX_EPOCHS,15.61016464,15.61016464,11.80696678,9,1.000000,False,"[""37.52249146"", ""43.21810913"", ""26.40099907"", ""24.91800499"", ""20.79869461"", ""18.92555809"", ""17.63742447"", ""17.62328529"", ""17.41643715"", ""15.61016464""]",1,TrendWaveletAELG,haar,haar,4,0,5,lt_fcast,8,17.36616932,0.46282026
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,2,44,16.081268,3.902081,972.196960,3593971.000000,0.982974,0.889207,2.463583,1474790,9.84,10,False,False,ReLU,MAX_EPOCHS,15.89250183,15.89250183,11.92110538,9,1.000000,False,"[""39.78544617"", ""45.85983276"", ""26.28235245"", ""26.13839340"", ""21.15865898"", ""20.35528946"", ""17.47390747"", ""16.39918900"", ""17.68825150"", ""15.89250183""]",1,TrendWaveletAELG,haar,haar,4,0,3,lt_fcast,8,18.31634734,0.46037808
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td5_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,1,43,15.183787,3.472358,899.965454,3387983.750000,0.901448,0.818609,2.224618,1485050,9.87,10,False,False,ReLU,MAX_EPOCHS,15.88866615,16.03823090,11.53641129,8,1.009413,False,"[""44.31654358"", ""48.73071671"", ""27.10527229"", ""25.89528465"", ""21.16843224"", ""19.05815697"", ""18.31510925"", ""17.07965660"", ""15.88866615"", ""16.03823090""]",1,TrendWaveletAELG,haar,haar,4,0,5,lt_fcast,8,17.18087244,0.38768530
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td5_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,2,44,15.836615,3.709886,946.977173,3552337.250000,0.951307,0.868294,2.436595,1485050,9.76,10,False,False,ReLU,MAX_EPOCHS,16.31607628,16.39457321,11.66424561,8,1.004811,False,"[""53.65346909"", ""65.58343506"", ""28.24394608"", ""25.94761086"", ""21.69077682"", ""19.20082855"", ""19.57827187"", ""17.27903557"", ""16.31607628"", ""16.39457321""]",1,TrendWaveletAELG,haar,haar,4,0,5,lt_fcast,8,16.68792806,0.31103167
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_bcast_td3_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,0,42,15.383752,3.614183,927.697510,3583376.500000,0.925410,0.855926,2.391067,1654340,10.23,10,False,False,ReLU,MAX_EPOCHS,16.91599274,17.30172729,15.18261623,8,1.022803,False,"[""32.76174164"", ""27.25588608"", ""23.65387154"", ""22.36891365"", ""20.68296814"", ""19.96676254"", ""18.38330841"", ""18.07235146"", ""16.91599274"", ""17.30172729""]",1,TrendWaveletAELG,haar,haar,30,0,3,eq_bcast,8,19.42075692,0.59278768
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_bcast_td3_ld8,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,1,43,14.746451,3.479299,890.639404,3388272.000000,0.888940,0.806888,2.172370,1654340,10.20,10,False,False,ReLU,MAX_EPOCHS,16.04430771,16.04430771,11.79178429,9,1.000000,False,"[""49.57786560"", ""33.94742966"", ""33.88186646"", ""24.85320091"", ""21.35707855"", ""19.45782089"", ""18.39149857"", ""16.75673676"", ""16.44574738"", ""16.04430771""]",1,TrendWaveletAELG,haar,haar,30,0,3,eq_bcast,8,17.82707644,0.35957733
