experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,basis_dim,basis_offset,trend_thetas_dim_cfg,wavelet_family,bd_label,latent_dim_cfg,meta_predicted_best,meta_convergence_score
wavelet_v3aelg_trendaelg_study_traffic_r1,Haar_eq_fcast_ttd3_ld16,wavelet_v3aelg_trendaelg_study_traffic,"['TrendAELG', 'HaarWaveletV3AELG']",Traffic-96,24,96,192,20,1,True,0,42,200.000000,37132.311669,440.500000,200080.484375,nan,11751.011719,174157888.000000,3505310,1929.07,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,16,,
wavelet_v3aelg_trendaelg_study_traffic_r1,Haar_eq_fcast_ttd3_ld16,wavelet_v3aelg_trendaelg_study_traffic,"['TrendAELG', 'HaarWaveletV3AELG']",Traffic-96,24,96,192,20,1,True,0,42,200.000000,37132.311669,440.500000,200080.484375,nan,11751.011719,174157888.000000,3505310,1933.57,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,16,,
wavelet_v3aelg_trendaelg_study_traffic_r1,Haar_eq_fcast_ttd3_ld16,wavelet_v3aelg_trendaelg_study_traffic,"['TrendAELG', 'HaarWaveletV3AELG']",Traffic-96,24,96,192,20,1,True,1,43,200.000000,814521.841163,9668.824219,97530240.000000,nan,257796.390625,84717830144.000000,3505310,1792.34,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,16,,
wavelet_v3aelg_trendaelg_study_traffic_r1,Haar_eq_fcast_ttd3_ld16,wavelet_v3aelg_trendaelg_study_traffic,"['TrendAELG', 'HaarWaveletV3AELG']",Traffic-96,24,96,192,20,1,True,2,44,200.000000,27953.389444,331.338928,112439.070312,nan,8845.440430,98150552.000000,3505310,1800.07,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,16,,
wavelet_v3aelg_trendaelg_study_traffic_r1,Haar_eq_fcast_ttd5_ld16,wavelet_v3aelg_trendaelg_study_traffic,"['TrendAELG', 'HaarWaveletV3AELG']",Traffic-96,24,96,192,20,1,True,0,42,200.000000,5207.111570,61.537262,4205.592285,nan,1647.033936,3708326.000000,3510450,1798.33,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,96,0,5,HaarWaveletV3AELG,eq_fcast,16,,
wavelet_v3aelg_trendaelg_study_traffic_r1,Haar_eq_fcast_ttd5_ld16,wavelet_v3aelg_trendaelg_study_traffic,"['TrendAELG', 'HaarWaveletV3AELG']",Traffic-96,24,96,192,20,1,True,1,43,200.000000,1014.505226,11.921955,157.151657,nan,320.666229,141197.734375,3510450,1851.45,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,96,0,5,HaarWaveletV3AELG,eq_fcast,16,,
wavelet_v3aelg_trendaelg_study_traffic_r1,Haar_eq_fcast_ttd5_ld16,wavelet_v3aelg_trendaelg_study_traffic,"['TrendAELG', 'HaarWaveletV3AELG']",Traffic-96,24,96,192,20,1,True,2,44,200.000000,11762.588979,139.584610,20397.365234,nan,3722.462891,17732614.000000,3510450,1837.05,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,96,0,5,HaarWaveletV3AELG,eq_fcast,16,,
wavelet_v3aelg_trendaelg_study_traffic_r1,Haar_lt_fcast_ttd3_ld16,wavelet_v3aelg_trendaelg_study_traffic,"['TrendAELG', 'HaarWaveletV3AELG']",Traffic-96,24,96,192,20,1,True,0,42,200.000000,24088.653218,288.338165,87936.015625,nan,7633.211426,74249672.000000,3484830,1835.63,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,94,0,3,HaarWaveletV3AELG,lt_fcast,16,,
wavelet_v3aelg_trendaelg_study_traffic_r1,Haar_lt_fcast_ttd3_ld16,wavelet_v3aelg_trendaelg_study_traffic,"['TrendAELG', 'HaarWaveletV3AELG']",Traffic-96,24,96,192,20,1,True,1,43,200.000000,74237.673751,886.694031,846025.562500,nan,23515.966797,719499968.000000,3484830,2001.49,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,94,0,3,HaarWaveletV3AELG,lt_fcast,16,,
wavelet_v3aelg_trendaelg_study_traffic_r1,Haar_lt_fcast_ttd3_ld16,wavelet_v3aelg_trendaelg_study_traffic,"['TrendAELG', 'HaarWaveletV3AELG']",Traffic-96,24,96,192,20,1,True,2,44,200.000000,885247.377215,10531.007812,113226240.000000,nan,280253.468750,97610514432.000000,3484830,2084.04,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,94,0,3,HaarWaveletV3AELG,lt_fcast,16,,
