experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve
Weather-AsymWavelet-Diagnostic,AELG-coif2-coif2,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Weather-96,144,96,480,8,1,True,0,1,74.693718,4.963483,15.122839,2741.167480,nan,1.212204,15.575353,1807436,238.54,34,False,False,ReLU,EARLY_STOPPED,987.56915283,1062.53747559,9422.09082031,23,1.075912,False,"[""2053.52612305"", ""2401.99951172"", ""1373.32031250"", ""1276.60913086"", ""1191.49462891"", ""1272.30834961"", ""1174.05688477"", ""1277.34753418"", ""1216.15026855"", ""1257.58947754"", ""1165.68359375"", ""1204.81958008"", ""1073.52172852"", ""1108.82714844"", ""1235.02172852"", ""1128.83447266"", ""1078.27563477"", ""1036.17089844"", ""1040.20935059"", ""1112.04199219"", ""1084.02233887"", ""1012.40966797"", ""1059.02539062"", ""987.56915283"", ""1174.80810547"", ""1087.83325195"", ""1201.04516602"", ""1170.84594727"", ""1158.11181641"", ""1288.29846191"", ""1168.20690918"", ""1142.03295898"", ""1097.87866211"", ""1062.53747559""]"
Weather-AsymWavelet-Diagnostic,AELG-coif2-coif2,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Weather-96,144,96,480,8,1,True,1,2,70.264053,3.846314,13.635926,2020.818481,nan,0.965210,8.532210,1807436,284.46,40,False,False,ReLU,EARLY_STOPPED,948.60754395,1024.08715820,8301.67285156,29,1.079569,False,"[""2650.59130859"", ""1582.62158203"", ""1541.40588379"", ""1545.77087402"", ""1460.14147949"", ""1363.04821777"", ""1315.89428711"", ""1337.45642090"", ""1305.08691406"", ""1183.99401855"", ""1115.89392090"", ""1193.72021484"", ""1112.80737305"", ""1114.02062988"", ""1084.40979004"", ""1057.30944824"", ""1106.11938477"", ""1035.12060547"", ""1105.17712402"", ""1020.30334473"", ""1276.81188965"", ""1009.97937012"", ""1116.04272461"", ""1013.06726074"", ""1233.08105469"", ""1099.93212891"", ""1197.93493652"", ""1489.53894043"", ""990.89569092"", ""948.60754395"", ""1094.12109375"", ""1053.70397949"", ""1163.58935547"", ""1138.50573730"", ""1068.39489746"", ""1202.78869629"", ""1255.89904785"", ""1240.59191895"", ""1365.23303223"", ""1024.08715820""]"
Weather-AsymWavelet-Diagnostic,AELG-coif2-coif2,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Weather-96,144,96,480,8,1,True,2,3,69.371704,4.011958,13.565735,2490.401855,nan,1.000181,9.458467,1807436,236.04,34,False,False,ReLU,EARLY_STOPPED,896.96990967,1182.28576660,9449.70605469,23,1.318089,False,"[""2467.09033203"", ""1496.23156738"", ""1347.41955566"", ""1279.15209961"", ""1414.57617188"", ""1443.43371582"", ""1241.61376953"", ""1243.09655762"", ""1241.48352051"", ""1191.79748535"", ""1198.85034180"", ""1217.32165527"", ""1094.02197266"", ""1042.88012695"", ""1054.17114258"", ""1008.71807861"", ""1195.95556641"", ""1198.65356445"", ""1121.40466309"", ""1196.28308105"", ""1020.70104980"", ""975.12048340"", ""1021.13342285"", ""896.96990967"", ""946.74328613"", ""1181.65661621"", ""1051.31054688"", ""1198.52563477"", ""1463.98364258"", ""943.30535889"", ""1096.18237305"", ""1186.32739258"", ""1220.23925781"", ""1182.28576660""]"
Weather-AsymWavelet-Diagnostic,AELG-coif2-coif2,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Weather-96,144,96,480,8,1,True,3,4,73.278519,2.606995,12.683904,1507.361572,nan,0.729845,2.811234,1807436,139.36,20,False,False,ReLU,EARLY_STOPPED,954.44549561,1466.32543945,10257.47949219,9,1.536311,False,"[""1855.01916504"", ""1704.88305664"", ""1376.91638184"", ""1423.42529297"", ""1300.86853027"", ""1186.34167480"", ""1229.74877930"", ""1123.41259766"", ""1189.33386230"", ""954.44549561"", ""1012.57824707"", ""1170.48193359"", ""1008.15686035"", ""1039.78820801"", ""1103.60205078"", ""995.09362793"", ""1342.01574707"", ""957.84924316"", ""1085.43554688"", ""1466.32543945""]"
Weather-AsymWavelet-Diagnostic,AELG-coif2-coif2,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Weather-96,144,96,480,8,1,True,4,5,69.874260,3.960380,12.639281,1897.945679,nan,0.987824,9.070322,1807436,197.01,28,False,False,ReLU,EARLY_STOPPED,814.19158936,1327.31274414,9064.48730469,17,1.630222,False,"[""1813.35974121"", ""1999.73278809"", ""1510.29748535"", ""1488.02258301"", ""1458.73828125"", ""1189.69250488"", ""1157.61425781"", ""1123.16198730"", ""1017.71081543"", ""1008.26971436"", ""984.63806152"", ""1028.90795898"", ""1055.31555176"", ""894.49548340"", ""947.76385498"", ""877.02966309"", ""1221.82397461"", ""814.19158936"", ""1207.90966797"", ""1147.89233398"", ""924.00506592"", ""961.78320312"", ""1560.46020508"", ""1504.23181152"", ""1429.80249023"", ""1076.15734863"", ""1058.84594727"", ""1327.31274414""]"
Weather-AsymWavelet-Diagnostic,AELG-sym3-sym3,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Weather-96,144,96,480,8,1,True,0,1,72.434883,4.285562,13.056318,2218.163818,nan,1.050255,10.738092,1807436,237.85,34,False,False,ReLU,EARLY_STOPPED,928.85430908,1051.74255371,8935.68261719,23,1.132301,False,"[""2066.41162109"", ""1398.81054688"", ""1352.90954590"", ""1590.15234375"", ""1343.74816895"", ""1347.89306641"", ""1381.41906738"", ""1284.28100586"", ""1162.83264160"", ""1107.57373047"", ""1278.26818848"", ""1277.37597656"", ""1102.76818848"", ""951.84338379"", ""1028.51293945"", ""998.74743652"", ""1044.58947754"", ""1033.88928223"", ""1239.96496582"", ""1052.61401367"", ""1025.41772461"", ""1123.25134277"", ""1069.07006836"", ""928.85430908"", ""1047.66040039"", ""1152.09460449"", ""1127.30615234"", ""1072.21508789"", ""1193.00866699"", ""1168.15087891"", ""1059.90979004"", ""1119.31384277"", ""1146.87158203"", ""1051.74255371""]"
Weather-AsymWavelet-Diagnostic,AELG-sym3-sym3,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Weather-96,144,96,480,8,1,True,1,2,67.488121,0.997793,15.412624,2242.159668,nan,0.392686,0.283866,1807436,90.59,13,False,False,ReLU,EARLY_STOPPED,1361.67224121,1440.60876465,10931.82226562,2,1.057970,False,"[""31076.53125000"", ""1841.16723633"", ""1361.67224121"", ""1494.88989258"", ""1535.19592285"", ""1506.42053223"", ""1513.58081055"", ""1389.89514160"", ""1718.91235352"", ""1542.60559082"", ""1515.23425293"", ""1515.79638672"", ""1440.60876465""]"
Weather-AsymWavelet-Diagnostic,AELG-sym3-sym3,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Weather-96,144,96,480,8,1,True,2,3,67.438850,4.598216,12.490473,1444.276123,nan,1.097181,12.729288,1807436,216.97,31,False,False,ReLU,EARLY_STOPPED,786.48547363,967.47363281,9739.48046875,20,1.230123,False,"[""1787.19848633"", ""1435.91516113"", ""1348.47814941"", ""1743.17407227"", ""1378.38842773"", ""1378.31835938"", ""1305.00183105"", ""1320.40063477"", ""1233.72839355"", ""1127.73046875"", ""1075.54663086"", ""1321.12341309"", ""1185.53967285"", ""888.69824219"", ""983.77166748"", ""878.59197998"", ""841.67010498"", ""927.02746582"", ""816.50427246"", ""1000.37316895"", ""786.48547363"", ""946.36804199"", ""1112.58850098"", ""894.03039551"", ""1029.75354004"", ""880.23083496"", ""936.94934082"", ""944.32946777"", ""866.64562988"", ""943.97967529"", ""967.47363281""]"
Weather-AsymWavelet-Diagnostic,AELG-sym3-sym3,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Weather-96,144,96,480,8,1,True,3,4,73.608803,4.204852,13.708808,2160.482422,nan,1.061953,9.158946,1807436,204.13,29,False,False,ReLU,EARLY_STOPPED,1219.13964844,1505.31762695,9007.49707031,18,1.234738,False,"[""1834.83520508"", ""1701.76696777"", ""1576.83874512"", ""1461.14892578"", ""1728.59790039"", ""1972.84545898"", ""1594.09399414"", ""1497.95935059"", ""1499.19592285"", ""1383.29541016"", ""1555.12963867"", ""1503.64453125"", ""1494.22875977"", ""1565.50500488"", ""1366.38049316"", ""1583.84667969"", ""1535.83020020"", ""1690.49475098"", ""1219.13964844"", ""1572.65283203"", ""1418.84265137"", ""1308.62792969"", ""1288.41979980"", ""1281.73876953"", ""1737.21508789"", ""1430.80432129"", ""1309.10559082"", ""1675.80151367"", ""1505.31762695""]"
Weather-AsymWavelet-Diagnostic,AELG-sym3-sym3,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Weather-96,144,96,480,8,1,True,4,5,71.432320,3.120346,14.377418,2111.004150,nan,0.829040,6.857095,1807436,161.09,23,False,False,ReLU,EARLY_STOPPED,954.26446533,1375.62951660,9864.16699219,12,1.441560,False,"[""2992.13989258"", ""1721.66821289"", ""1436.91723633"", ""1235.79089355"", ""1227.58239746"", ""1203.32531738"", ""1213.37707520"", ""1071.67297363"", ""971.63006592"", ""961.04833984"", ""1067.88989258"", ""987.13964844"", ""954.26446533"", ""1089.46020508"", ""1274.84326172"", ""1303.27880859"", ""1115.43664551"", ""1265.11926270"", ""1152.58459473"", ""1531.58435059"", ""1484.45275879"", ""1215.34924316"", ""1375.62951660""]"
